"","Date","Time","eventtype","longitude","latitude","magnitude","depth"
"200",2015-10-07," 08:22:02","earthquake",175.6999817,-42.93177414,2.896078896,12
"201",2015-10-06," 21:46:44","outside of network interest",173.2622281,-41.98698086,2.813321685,256.25
"202",2015-10-06," 11:35:30","earthquake",172.0810284,-42.99696558,2.392240038,11.796875
"203",2015-10-06," 05:32:34",NA,172.0706488,-42.98497711,2.294044388,9.921875
"204",2015-10-06," 05:30:20","earthquake",172.0885396,-42.99050208,3.052089823,10.390625
"205",2015-10-06," 00:00:24",NA,172.4179483,-43.59272191,1.816218897,9.921875
"206",2015-10-04," 14:41:16",NA,173.0717129,-43.1615109,2.390880035,12.03125
"207",2015-10-03," 20:20:40",NA,173.0499608,-42.43812975,2.826271507,54.6875
"208",2015-10-03," 16:25:02",NA,170.2314839,-44.03593839,2.182882333,5.46875
"209",2015-10-03," 15:52:10",NA,172.3788922,-43.57992061,1.716689541,9.921875
"210",2015-10-03," 03:12:30",NA,172.5140667,-43.60714885,2.041645005,9.921875
"211",2015-10-02," 02:03:39",NA,172.7385065,-43.40152631,1.984502461,9.921875
"212",2015-10-01," 21:51:44",NA,172.3438557,-43.59728882,2.065774489,9.921875
"213",2015-10-01," 18:35:35",NA,172.3499243,-43.65089341,1.979809292,9.453125
"214",2015-10-01," 12:53:28","earthquake",172.7721405,-43.59612274,2.583425233,6.447823048
"215",2015-09-30," 23:59:58",NA,172.7226146,-43.52711483,2.054953167,18.125
"216",2015-09-30," 21:36:46",NA,170.3065913,-44.56956528,2.003134506,5.46875
"217",2015-09-30," 13:54:22",NA,173.036882,-42.07219629,2.802275795,44.84375
"218",2015-09-30," 09:07:56",NA,172.7221575,-43.601392,2.079423477,8.515625
"219",2015-09-29," 23:36:09","earthquake",172.7715302,-43.59440613,3.284737531,7.043548107
"220",2015-09-29," 08:19:36",NA,172.358522,-43.65614744,2.356364979,9.921875
"221",2015-09-28," 14:49:17",NA,172.6819674,-43.54098036,1.555259824,16.71875
"222",2015-09-28," 12:26:47",NA,172.0691362,-43.14524897,2.160583411,10.859375
"223",2015-09-28," 12:12:13","earthquake",172.196494,-43.58473893,2.695921626,12.265625
"224",2015-09-28," 09:04:45",NA,172.8990284,-43.75583439,1.842722713,20.9375
"225",2015-09-26," 22:50:36",NA,172.3561143,-43.65190455,2.747770104,10.15625
"226",2015-09-26," 17:27:01",NA,171.7704668,-43.00472518,2.155186596,9.921875
"227",2015-09-26," 13:37:02","earthquake",172.9468842,-42.06445312,3.482690292,72.60047913
"228",2015-09-26," 11:20:17",NA,172.1451911,-43.58661598,1.66806246,9.921875
"229",2015-09-26," 04:41:45",NA,172.7709553,-43.48759363,2.026252927,9.921875
"230",2015-09-25," 16:56:52",NA,173.6810319,-42.36133301,1.825022386,34.53125
"231",2015-09-23," 14:24:44",NA,172.969409,-42.14033398,2.748381971,22.34375
"232",2015-09-23," 08:30:30",NA,172.4038845,-43.61736644,2.221402972,9.921875
"233",2015-09-22," 10:04:30","earthquake",172.6935272,-43.5190239,2.0534179,3.979456663
"234",2015-09-21," 22:36:59",NA,173.3578775,-42.80923062,2.323641044,23.28125
"235",2015-09-21," 16:57:59",NA,171.9191751,-42.95222389,2.209874477,9.921875
"236",2015-09-21," 10:57:20",NA,171.9701138,-43.18415567,2.008289797,11.328125
"237",2015-09-21," 10:02:17",NA,172.4419211,-43.6184502,1.829108189,9.921875
"238",2015-09-21," 08:35:16",NA,172.0936246,-43.48828925,2.147617888,8.984375
"239",2015-09-21," 06:26:52",NA,172.4419211,-43.6184502,1.664992032,9.921875
"240",2015-09-20," 19:12:30",NA,172.132973,-43.48189837,1.49392009,10.15625
"241",2015-09-20," 10:12:24",NA,172.2460299,-43.60952871,2.230933371,9.921875
"242",2015-09-19," 23:53:48",NA,172.5288972,-42.27440277,2.816857818,16.71875
"243",2015-09-19," 21:24:23","earthquake",172.7720661,-43.49931116,2.644610833,9.921875
