publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2015p127203,,2015-02-17T01:33:52.473Z,2015-02-17T01:35:55.208Z,172.37510119999998892,-43.54850532999999757,2.21034989199999998,5.11718750000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.24552248639999999,90.83874754999999368,0.26951787550000000,0.00000000000000000
2015p125054,earthquake,2015-02-16T06:28:58.266Z,2015-02-22T22:03:35.243Z,172.37868629999999825,-43.56801801999999668,3.67638366599999999,7.51953125000000000,M,,NonLinLoc,confirmed,manual,nz3drx,32,32,13,0.02654296640000000,49.89874989999999855,0.34884943029999999,0.00000000000000000
2015p125000,,2015-02-16T06:00:23.440Z,2015-02-16T06:03:07.247Z,172.70959160000001020,-43.51088346000000229,2.26621034000000021,10.39062500000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.20070128560000000,106.40199789999999780,0.24426364160000000,0.00000000000000000
2015p123093,earthquake,2015-02-15T13:03:52.422Z,2015-02-21T08:15:13.279Z,173.19047589999999559,-43.86342617999999760,2.60803218300000017,29.14062500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,11,7,7,0.16868515410000001,269.97891270000002351,0.26712368959999999,0.00000000000000000
2015p122083,,2015-02-15T04:05:50.154Z,2015-02-15T04:07:27.665Z,172.78463619999999423,-43.75258311000000333,2.28103479799999986,50.93750000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.10464190050000000,147.79779980000000705,0.16819086029999999,0.00000000000000000
2015p121062,,2015-02-14T19:02:03.818Z,2015-02-14T19:05:55.245Z,173.13007709999999406,-41.98854089000000300,2.43329465899999997,7.46093750000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,10,0.27994434680000002,77.75600953000000004,0.35620838830000001,0.00000000000000000
2015p117903,,2015-02-13T14:59:06.154Z,2015-02-13T15:02:18.787Z,172.69429999999999836,-43.59684184999999701,2.44300232799999995,9.10156250000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,8,0.11449639540000001,94.08797031000000288,0.21067378540000001,0.00000000000000000
2015p116987,,2015-02-13T06:51:06.962Z,2015-02-13T06:52:46.904Z,172.40020640000000185,-43.60265179000000302,2.37591668399999989,7.46093750000000000,M,,NonLinLoc,,automatic,nz3drx,9,9,6,0.21202473129999999,100.74204539999999497,0.22108979249999999,0.00000000000000000
2015p116698,earthquake,2015-02-13T04:16:59.449Z,2015-02-18T01:01:52.713Z,172.37281719999998586,-43.56096305999999885,3.10607317299999997,5.11718750000000000,M,,NonLinLoc,confirmed,manual,nz3drx,25,22,12,0.07239392594999999,92.37924843000000408,0.33909753520000002,0.00000000000000000
2015p115306,,2015-02-12T15:54:49.278Z,2015-02-12T15:56:26.653Z,172.36562029999998913,-43.61752845000000178,2.01431841899999986,5.11718750000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.19570699110000001,106.82685019999999554,0.25264216649999999,0.00000000000000000
2015p114949,,2015-02-12T12:44:49.902Z,2015-02-12T12:47:12.620Z,172.36606100000000197,-43.66283229999999804,2.52758965900000021,5.87890625000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,11,0.17505656480000001,118.93231099999999856,0.29468291980000000,0.00000000000000000
2015p114507,,2015-02-12T08:49:20.158Z,2015-02-12T08:50:49.828Z,172.70139729999999645,-43.55697708999999662,2.08310252000000018,5.11718750000000000,M,,NonLinLoc,,automatic,nz3drx,8,8,7,0.15441855539999999,100.29921229999999355,0.16125274400000000,0.00000000000000000
2015p112968,,2015-02-11T19:09:55.133Z,2015-02-11T19:12:34.129Z,172.92443990000001008,-43.09885912000000019,2.65536570899999980,143.75000000000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.57420814720000002,164.18884330000000205,0.35840664449999998,0.00000000000000000
2015p110258,,2015-02-10T19:05:58.111Z,2015-02-10T19:08:11.277Z,172.56030119999999783,-42.54703866999999917,2.45425870200000018,10.03906250000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,8,0.31676832420000001,80.79255768000000160,0.23491923889999999,0.00000000000000000
2015p109625,,2015-02-10T13:28:24.695Z,2015-02-10T13:30:42.111Z,173.12226190000001225,-42.34258504000000300,2.51774505099999990,13.20312500000000000,M,,NonLinLoc,,automatic,nz3drx,20,20,13,0.31613717660000001,78.52459643999999628,0.46155410699999999,0.00000000000000000
2015p107089,,2015-02-09T14:57:00.666Z,2015-02-09T15:00:06.900Z,172.37260130000001368,-43.59685586999999884,2.40383986199999988,10.74218750000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.21182337970000001,101.37043889999999635,0.21445702050000001,0.00000000000000000
2015p107048,,2015-02-09T14:35:26.866Z,2015-02-09T14:37:46.175Z,170.06834580000000301,-44.04803302999999914,2.26931816399999997,131.09375000000000000,M,,NonLinLoc,,automatic,nz3drx,9,9,5,0.35208462149999997,104.17347890000000632,0.40153570550000001,0.00000000000000000
2015p105845,earthquake,2015-02-09T03:54:16.027Z,2015-02-10T04:09:20.803Z,172.42385490000000914,-43.64757225999999690,2.50960930900000001,14.25781250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,17,12,6,0.17725617220000001,111.90739209999999559,0.43142443539999997,0.00000000000000000
